source,target
0,2
0,1
1,0
7,8
8,7
9,10
10,9
11,12
12,11
13,37
13,26
14,15
16,13
16,29
18,17
19,20
20,19
21,22
22,21
24,23
25,47
26,1
26,52
31,30
32,39
33,45
34,0
35,34
37,0
38,36
39,25
40,72
41,40
45,33
46,61
46,44
47,25
49,83
49,44
51,41
52,2
52,26
54,55
56,191
56,61
56,168
57,103
58,51
60,3
61,60
63,4
64,66
65,33
67,114
67,113
68,69
70,0
73,41
74,171
74,48
74,194
75,54
76,7
77,76
78,58
79,78
80,79
81,82
82,81
83,49
86,252
86,251
86,323
88,92
88,58
89,119
90,6
93,92
93,104
94,325
94,383
94,388
95,73
96,93
97,277
97,131
99,98
100,105
101,170
101,149
103,112
103,57
105,100
106,109
108,158
108,304
108,217
110,160
110,362
114,67
116,208
116,80
117,159
117,205
119,75
119,206
120,121
123,127
125,18
126,174
126,238
126,428
126,182
130,31
131,223
133,84
134,99
136,192
136,281
136,53
136,125
137,143
138,139
138,237
140,188
140,219
142,133
142,49
144,260
145,147
147,146
148,19
150,122
153,5
155,203
156,48
156,94
158,608
158,107
158,139
158,593
160,148
163,162
164,1234
164,842
164,693
164,928
164,781
164,311
164,539
164,483
165,112
167,14
168,56
169,224
169,571
169,516
169,399
169,361
170,101
171,724
171,129
171,660
171,247
171,48
171,112
174,452
174,183
174,345
174,192
174,53
174,339
174,308
174,144
176,141
178,211
181,586
181,57
181,152
181,48
181,194
182,53
183,575
183,416
183,782
183,210
184,57
185,459
185,365
185,495
185,645
185,720
186,87
189,406
189,397
189,374
189,616
190,141
190,104
190,18
191,56
192,617
192,118
192,125
192,53
192,74
192,355
192,136
193,56
194,193
196,74
196,53
197,163
199,200
200,5
201,204
202,58
202,306
203,202
204,201
205,117
206,119
207,39
207,160
207,468
210,260
210,57
211,178
213,212
214,268
214,733
214,352
214,719
214,64
215,154
217,110
218,215
219,140
219,439
224,174
224,125
224,238
224,136
229,107
231,218
232,183
232,126
233,225
236,227
237,75
238,259
238,174
238,1179
238,971
238,787
238,144
238,136
239,165
240,164
240,370
240,832
241,122
241,518
241,130
241,150
241,573
242,288
242,377
243,62
243,458
243,378
244,334
245,102
245,338
245,302
245,368
245,376
246,957
246,731
246,857
246,647
246,391
248,84
250,445
250,750
250,274
251,104
254,174
254,345
254,57
254,53
254,182
254,210
255,542
255,652
256,311
256,554
256,765
256,829
256,189
256,790
257,559
257,296
257,322
258,259
258,369
258,181
258,418
259,183
259,53
259,181
259,74
259,1091
260,44
261,413
262,130
262,639
263,417
265,421
265,53
266,117
267,329
269,266
270,310
270,374
270,189
270,370
271,171
271,247
271,595
273,272
279,443
281,118
281,53
281,759
281,50
284,27
284,1278
285,31
286,173
288,242
289,357
291,350
291,741
293,110
294,380
295,291
298,77
299,315
300,308
300,48
300,761
303,235
303,462
304,352
305,30
305,18
306,51
307,5
308,48
309,158
309,108
309,684
310,321
311,1925
311,479
311,1169
311,790
311,337
313,1346
313,457
313,1274
314,126
314,1108
314,339
314,682
314,784
316,1501
316,401
316,122
316,604
316,190
316,96
316,245
316,2307
316,2241
316,885
316,231
317,73
318,695
318,680
319,97
320,57
320,431
320,74
320,48
320,144
320,136
321,181
322,292
323,84
324,526
324,347
325,158
325,309
325,108
327,11
328,506
329,267
332,213
333,284
334,735
336,26
337,232
337,126
337,512
337,144
339,171
339,849
339,308
340,336
341,235
342,126
342,169
346,449
346,707
346,916
346,246
346,361
347,600
347,333
349,452
349,57
349,792
350,287
351,360
351,656
351,860
352,268
353,107
354,249
355,617
355,118
355,171
355,74
355,1700
356,772
357,266
359,318
360,499
360,234
361,390
361,324
361,175
362,486
362,577
363,462
364,590
365,477
365,199
365,280
365,508
366,463
366,949
367,44
367,18
368,338
368,302
368,245
368,376
368,316
369,174
369,126
369,238
369,843
369,144
370,164
370,342
370,169
371,133
375,640
375,1746
376,59
378,134
380,699
380,583
380,31
380,864
380,294
381,341
382,99
384,225
386,401
386,701
386,2092
386,247
386,184
386,1036
386,1001
387,422
387,379
387,2207
387,386
387,747
