source,target
15502,16211
4947,12078
15082,4441
4279,8661
10882,1145
15154,7605
10459,4118
9575,14767
11138,9225
6551,604
1300,194
4625,13888
11521,14725
14851,14972
8111,2451
1827,10842
7864,6484
2332,3045
15210,5163
11791,3768
13707,3304
6447,13342
12928,13842
5542,12035
3971,4665
4805,720
6966,2394
542,7511
16083,1316
3201,1938
5457,3541
8971,10554
14031,5693
16819,7596
14972,9940
13707,7790
14469,11759
15728,1913
3798,1515
13585,8301
2785,13630
11610,16652
10991,13679
16130,3770
5124,7626
7576,7304
4966,6216
5658,12823
6230,876
8033,1883
95,14413
15328,15146
3551,3362
11010,9816
10622,6983
2316,4310
11939,622
7410,801
3161,16394
12015,2011
13591,14366
5857,8277
2388,1048
9030,641
877,1988
4824,1391
720,9660
4188,14018
16063,3446
8946,10793
6620,6041
8934,2693
9543,2793
12242,7040
13696,16495
7194,10071
11314,5966
11704,12046
7062,12105
6368,12235
2176,12611
8666,11379
12908,14838
3118,5483
4828,5604
1784,14984
13315,12428
1193,7828
7116,4032
1256,11159
6674,12196
10186,6674
12567,14799
3979,722
9782,14709
7101,7036
3900,16862
1071,15362
11330,6482
14140,5296
12623,9916
14223,11613
5903,12850
3600,15666
26,12313
281,15313
13115,15342
4205,6861
13694,13891
7016,15134
13703,7871
5847,12705
4964,13186
5601,1364
11331,5422
11740,3807
12617,3808
16103,10476
16240,5182
5693,9940
6471,1336
1272,4761
4158,3814
7199,893
14975,13544
15713,4908
32,9135
5095,9645
2709,5192
14447,15346
857,194
11866,14381
16519,5556
2379,2602
6830,5599
15350,5623
13029,11174
14703,10526
406,13519
10644,14657
5399,15648
1300,4563
7355,7478
11955,14622
8080,10769
13503,13124
406,497
3350,6001
2825,13494
13046,2213
9834,2945
9049,15695
8509,14254
12038,8108
2637,5365
3910,12996
8092,11920
7374,10323
11555,2497
10768,161
16715,12411
1441,12715
14938,1324
5127,4674
11517,8230
926,10042
4646,8487
5071,10690
3355,13774
7988,3359
13966,8658
4271,13246
9970,14596
5468,14300
4503,1289
5578,3503
271,4105
1399,6337
2592,7838
7581,13777
8416,405
1908,5174
10007,10679
13570,6996
2452,15901
15538,14118
12620,14641
3882,4961
2321,6032
11791,10446
1780,15138
13862,11882
6514,16187
4646,9187
1114,10878
2229,9194
4006,3245
15587,13309
3219,13578
10512,14065
4619,5105
210,10211
13742,804
5814,2446
12907,11488
7517,3766
16691,4898
6303,4729
4642,12674
8378,16074
9548,1463
9956,16542
4630,4515
3023,11318
12531,10407
15744,7335
7961,3220
13357,2945
4082,4547
1539,6954
9020,6217
15285,4867
16495,4444
14467,2239
1454,4474
1653,16671
1917,12717
10417,15182
12938,3583
10956,11476
10147,10595
14292,6658
706,5598
2973,8363
10869,3230
8521,11389
12697,15541
4743,6953
4856,14868
4606,6778
1239,16848
3775,2568
10824,12735
589,16699
13523,6693
6142,10623
15795,12547
9768,1148
16710,13179
3031,9645
6298,16435
12379,3043
13737,11866
15067,2042
16840,1560
7971,15833
2707,16371
4283,12590
15720,6305
8190,4704
6224,29
326,14112
1791,1871
11215,15713
8904,14365
10680,12533
1163,8013
10312,25
13495,13631
965,9573
6512,2179
13278,1622
10278,11966
9771,3834
14858,149
16374,13447
743,2559
15959,11866
804,9590
14660,6965
7799,1843
8263,4992
682,4932
2858,10255
13067,6082
15764,12831
6564,5998
11651,14463
14982,4788
11328,14480
8550,13270
220,2093
16743,5483
6907,12424
2318,1538
13545,493
16662,4674
4839,4562
5173,12323
15760,10241
1413,4238
9970,6578
3011,9585
7817,9799
4512,7990
5384,547
12100,7752
11475,16551
235,7266
9260,8236
13784,7249
12671,13295
7981,976
13837,13510
13986,8293
7907,1604
11866,9836
382,9531
6706,11116
1483,11755
2887,635
10884,2802
7016,1215
14467,14761
11650,7798
3019,2936
476,12638
8737,3988
14174,11162
12634,16061
15405,14352
4110,5499
10241,14729
4971,11960
11336,9562
12508,8818
13059,11916
6941,8402
3706,9121
5313,15405
5738,11029
1353,651
5531,12081
7878,2139
6689,359
13743,7152
8001,1012
16524,4104
8563,9726
12553,12058
7444,14105
9187,8140
5085,8680
7319,15857
13751,14283
10835,6929
15421,10762
11308,5713
7441,4377
3541,9706
6594,6907
530,6240
1999,1398
16691,12656
11015,13574
4856,2853
9246,2821
12578,6626
1743,2234
3045,13860
6444,14843
9634,15912
3325,8980
6274,8596
3393,5007
5311,3547
16755,14946
229,11311
10440,6172
7492,15956
10537,8915
11875,16219
608,5824
12451,10092
11743,11400
6001,4454
10884,15035
9789,12844
13759,2712
9958,2690
11761,556
8109,13993
14877,9711
13862,7087
2612,12046
3541,10968
10854,8292
3850,11562
11231,4425
3997,15573
11722,13806
9857,15975
11464,15526
10669,15572
15502,2057
9145,13910
7946,12203
16791,13503
16495,16610
12198,14726
2162,2767
14572,32
5304,11634
714,10450
12228,5069
12957,6209
547,9417
15777,6183
16618,14445
3440,13576
11148,10521
7899,4563
9653,5000
6825,16048
16122,15806
8855,15840
12468,5608
12711,8476
12669,10947
1790,13028
9742,11138
1294,15318
11802,15022
5665,13891
2405,15024
10650,7095
11318,4826
4001,1028
15558,4889
1250,3980
8103,14283
11993,15395
772,15390
15097,10972
1113,4944
13978,9050
1856,3540
1363,9639
6283,3273
15807,1455
16508,8405
12352,15654
8945,14850
8412,1044
4572,197
9843,63
5691,16215
7990,505
15766,5815
1395,15955
5264,16112
8412,7807
9744,12265
2556,1864
5472,14544
3107,11248
12954,7635
6546,8746
2689,9667
4264,460
1479,321
14251,14173
2051,2815
16610,8310
13390,7706
9661,5933
12212,15720
6193,10714
5679,8708
4205,11498
5145,13271
6230,12886
16328,9098
2355,2798
8066,845
5163,13665
16416,13854
1185,16384
7713,384
7445,14156
9050,3193
5461,7962
2160,15076
9869,7867
16721,1311
12663,16099
7586,1997
2404,14124
7324,3918
2126,1205
15005,15267
8958,12850
7673,1949
1755,9207
6966,4514
11651,16588
6656,7225
6546,12088
8987,3154
323,7031
6782,1975
7199,6131
10009,6124
6742,12531
6568,9970
1515,11669
6555,13786
4838,11847
225,14842
15062,2604
14659,15146
14770,15493
13593,5511
942,1378
14796,636
2361,8784
7366,16306
1281,4017
7971,5018
14484,8561
664,2069
6406,1597
4178,16770
1821,10315
4856,12046
3628,8639
12310,12082
599,480
11875,11379
12471,11578
14131,15690
1220,3220
5106,14069
8893,8496
2740,15546
13027,2156
8830,8259
10581,2369
7014,348
7748,3857
1305,5903
3535,10291
10777,8252
1992,13273
8416,14777
687,9472
12190,15659
6265,6881
11498,3732
15233,39
2135,7194
2113,1472
2833,1179
3849,15022
15567,3769
7036,12611
10550,2820
14484,12934
160,14569
4828,5291
2508,11704
12685,9286
15811,7336
3019,5402
12978,12617
12242,15831
3864,14685
4280,15218
4876,2081
12968,15682
1992,9899
1619,14948
13906,2973
15272,2034
8236,528
14570,11159
12762,560
5149,5720
6095,9872
13729,14091
8976,999
3527,15562
9834,13823
3617,13707
3220,6904
1555,1838
3035,16717
12910,6950
15593,2123
6021,9303
16227,9073
16752,12934
356,8650
16567,4478
3873,176
7715,4961
823,10696
11596,7302
6471,1785
12239,6108
14525,77
1058,10489
3767,3629
12431,12965
11922,11348
14957,11479
15743,13255
11125,4256
10763,15582
7821,11257
7149,15460
812,13305
332,3768
573,16716
2554,6725
9024,15807
16111,3145
11567,12531
3827,3691
624,530
15322,14866
1175,9124
5460,7033
14543,7298
2995,8218
4091,5139
5460,9063
8595,14178
8818,774
6840,3169
6980,5474
7428,9045
419,4110
3054,9898
10257,2534
1653,16224
14484,2274
8809,5461
11651,5364
10245,2381
16130,2157
7932,10932
9050,8715
1347,3079
1948,15210
5281,8699
3869,15967
12609,8561
6836,9726
15676,6721
16837,5595
7904,1758
14223,7022
5995,7853
2508,3636
6015,3474
3559,10202
15390,9294
8284,13200
15977,14326
11494,6240
1031,1843
3393,9926
873,4702
11503,15748
7586,4674
2785,12128
13118,11890
2104,8959
10882,154
10608,8774
248,11411
7275,9639
16388,2057
14866,15533
13823,2088
15914,2672
13292,972
2234,12515
5542,7999
9087,11153
16066,14935
5406,9130
13368,14658
1442,5945
14957,9513
10877,10521
11506,9303
11946,9630
2910,9711
9990,1320
4494,12126
10644,15608
7206,3540
9607,13934
3793,14952
878,3217
1806,16817
13073,8028
3594,11530
8248,16293
12541,2412
10459,5105
4024,15724
3801,15945
8738,2961
16520,3929
11832,5961
1450,8453
2404,11943
6929,8742
1654,13933
175,13987
16329,16778
4807,12580
12657,1816
7612,13236
4091,8135
12222,16325
11054,3918
14909,6713
1008,10611
9461,3852
7671,15160
7388,12883
8070,10525
2495,10286
14656,4952
11061,8066
14454,2692
11828,16008
8791,5318
3872,2903
16218,6959
13083,10734
11124,7604
13519,4383
11635,6939
10577,1155
13106,5023
799,3349
10441,8371
16303,3855
9168,13490
7058,11095
766,7692
7207,8718
586,5534
3048,15777
15325,7114
9608,4149
9385,16394
13711,1995
765,16269
11368,13232
3080,3535
15532,7139
14328,11476
4803,16258
5868,8596
4620,1517
3008,3662
3586,14849
5406,16421
2404,2274
8810,16549
11893,3968
5601,11610
10253,12783
14891,10908
11089,8395
8082,11558
11256,7170
9768,11601
4481,8586
15408,3539
16427,5144
9467,3644
4210,15028
11178,9919
8978,11650
6944,9677
10039,2690
16029,12150
963,4681
5669,10613
12244,3720
15450,2832
3393,8376
3993,6821
2824,13268
8063,9846
2277,3285
12643,10330
9395,62
2373,638
3849,11802
2301,3943
4824,3301
4972,1337
15318,12115
2873,3835
9802,1979
2878,13311
2422,14855
10079,8482
12620,10964
6881,8182
13407,6994
14957,5656
9274,11354
12280,9297
9326,13517
3603,2318
10448,11872
10441,16550
8278,14262
14854,7494
7238,2273
7897,8806
14131,9486
11458,6602
3069,10848
10904,8302
12973,881
10309,10840
15558,15896
10134,13382
10958,4162
10881,9918
15797,5208
15272,14190
3602,7584
7236,10889
2151,6957
14193,12853
15166,8252
3288,16184
1642,2976
10244,6057
15030,15244
319,4271
1196,11736
11786,5806
8855,6560
4561,14252
12507,11039
16472,1856
10468,16412
16353,5040
15280,381
15572,10462
9759,2651
9881,3017
14122,13481
10095,47
15386,5720
7107,6435
2404,2034
1521,4992
2234,13602
10648,7918
10328,2403
6962,8934
8361,2367
2489,8719
242,3304
3535,6163
297,8230
4603,14807
6186,11134
8986,4481
4955,4341
2387,1166
4110,9773
2355,6479
8639,16855
10417,2284
7234,3256
300,3511
766,6674
13806,13065
1491,4011
5096,3385
2508,11669
7840,11917
6903,7360
14308,14457
10766,15113
8196,7636
12206,9224
2877,6149
6002,10304
7282,9997
4576,16219
1633,13036
15704,13692
10376,6688
599,9405
14105,14393
1036,5203
6164,5101
15149,11334
10248,6579
16324,13484
14236,12974
4390,13132
10855,7095
2705,849
7560,6852
14083,4825
13242,2449
9720,2475
15009,6238
341,7250
1671,3540
14249,6459
15005,11293
11588,10577
12054,15219
9123,4722
4102,12216
2247,3409
1031,15606
3483,6633
6898,6046
11090,14539
11021,3840
6653,2971
4091,1856
6715,3968
15289,6373
9100,11494
2274,1856
1778,15069
9010,9611
6932,7886
11066,12179
13600,15446
4163,6959
6245,6890
15772,6046
10333,6057
9742,1938
12327,11417
15958,3720
16695,10138
10099,15318
7442,15932
9985,13216
9661,10917
11977,1145
14494,11686
2444,14582
14416,3173
14168,1425
12981,12215
7687,2980
15998,7132
12974,5845
2865,4987
5118,10861
10189,13026
4315,731
6010,9633
6742,4054
13044,1217
4977,6486
2454,4426
10255,16528
14909,11910
8531,6066
7653,14271
6302,2126
4814,8984
8217,6924
15558,3541
15864,2905
4110,14989
3685,1903
12065,15027
619,13467
11991,15669
2566,3759
15276,162
1679,13079
2523,15541
1541,15921
2377,7656
2817,6432
15874,16155
6838,9024
4024,2485
8962,5820
9238,2253
7482,7520
6509,11653
9590,100
10264,2467
12795,8561
9197,4189
3220,1797
2234,5808
14105,4252
16256,15196
7177,12282
10361,11211
6049,5366
2832,1245
4639,12816
9598,11485
6479,1547
7345,4825
1367,7771
10669,7743
823,5170
4842,13225
13837,9911
12986,11502
12406,8066
7316,15852
14594,5033
3140,3538
2141,6068
11110,5383
3751,178
6858,5170
8981,5480
7454,8636
5924,9048
955,8412
10547,7211
13858,10960
14066,4140
14843,16748
13307,8168
13606,12101
14936,5587
11731,12797
5997,4494
553,6646
10854,15264
3427,9428
2854,14548
6790,652
12655,11182
5033,4801
3788,9050
5146,2975
12295,14596
5492,3101
7067,16383
8958,9146
3383,2544
4118,5139
11422,5023
9983,9464
11983,10596
6230,938
14074,15407
6664,7033
2186,197
1013,15642
11893,256
15304,4801
8337,14122
12059,466
16215,5399
11502,12934
11361,15976
15138,3385
3205,2907
7893,14002
12184,12360
11596,4353
9315,10262
6408,7629
4807,1420
3439,9215
6674,15984
5651,8143
16602,16357
16004,10293
2488,12704
2310,15438
4355,3160
15344,13190
9071,6683
13428,15041
16545,5934
11796,16862
9265,14754
2053,12948
10766,11561
6986,8444
15138,13309
15588,14857
4619,15272
7188,10155
11461,633
12611,5713
8452,4436
7587,16347
14100,14542
1933,12267
10412,3541
10459,12986
4803,5962
4291,12843
11614,5980
10340,2615
4354,14656
382,1930
598,9173
711,9550
16745,14120
11485,15594
10264,12303
2237,7223
8487,5808
12292,15011
3264,15524
5671,5940
4856,2034
6023,6770
4259,15061
6790,12012
12914,7990
14495,13203
8427,10210
677,8914
9794,8458
466,4669
14906,9866
6392,10753
8769,13502
6196,15793
16691,1310
8212,1690
578,3517
1804,3233
13823,16713
132,8424
12160,1390
13773,7385
10337,12590
16347,11430
7468,4017
13836,8482
4074,4680
13554,5366
5112,6579
6551,2015
12128,4665
4507,3833
7319,16584
12625,11284
6954,9461
1013,14858
2929,761
9993,16287
16237,1907
3392,16745
5183,13056
2833,13105
2954,3609
1448,12797
9249,16137
3527,1436
2769,16337
3541,3636
3439,8832
6620,5846
1753,3117
3620,14644
3995,3772
3541,4590
14783,9291
11224,12445
11134,12558
4619,1864
15243,6405
6801,11486
14609,1441
533,3421
16214,645
16558,6616
11946,16818
7957,7173
14223,7207
9835,11577
12419,1421
16536,1348
10716,5640
7282,2512
893,3693
10938,3857
5529,11426
1568,9922
598,12606
11784,14680
6151,13440
2104,3206
2212,241
7009,12945
16844,9950
10625,2793
14962,9394
11939,2224
429,6291
14213,5981
10149,11464
11943,3540
13727,8669
10777,15166
7569,6204
14717,16691
7359,943
12305,4310
4118,15272
13067,8206
14612,13704
12195,8807
11159,2662
7449,1987
9208,16266
8601,1482
15387,14784
7297,15318
4074,6532
14972,15581
16507,6991
14335,9604
15710,11863
11497,2698
