source,target
4696,10373
12312,14911
11150,12138
3236,15947
11426,15520
8249,10322
282,11379
9220,10886
11990,13490
654,14135
5844,13630
11423,16023
3520,11061
11129,13498
535,16101
3084,16052
8640,11376
2874,8796
1663,14544
3177,7925
613,6625
3941,9949
9284,10033
780,14255
7574,8801
5686,11097
52,11238
10545,15329
7321,13593
6304,8872
11048,13125
6589,11486
1293,10948
9416,10943
2843,5912
10345,16678
2029,12481
1516,3076
897,15157
10745,13491
2024,6893
9366,15426
1539,5800
10895,13504
716,15967
6030,10834
3514,5981
4699,14381
14171,15778
7551,8741
7543,13015
3490,3997
2977,3527
12807,16345
5273,15392
7459,8727
3238,10358
7953,9750
8066,14503
7749,16557
7754,15617
1386,5259
2505,15243
14294,14836
572,10529
3589,13079
565,14276
3796,15934
3598,14916
10024,12616
1368,11261
87,3720
2114,15075
4440,12460
3846,14428
9926,14993
7964,12135
3468,16746
771,6091
10863,12788
7465,16650
5031,7827
5763,10432
6840,10029
562,14646
12041,14789
1163,10539
1525,11693
10910,15704
7353,15466
1949,12402
6455,7413
11389,13658
7744,12030
5859,6073
5798,16245
6849,11655
1152,7665
1666,16394
4941,6696
3922,16591
9575,13137
2416,11273
630,3683
2267,7665
16297,16474
1110,14176
104,15537
6427,14962
555,8901
6340,15757
6652,13968
7836,12748
5750,12959
12161,16497
10962,14503
10848,10977
7438,9044
5525,10604
3003,9814
5762,16130
2745,7269
4966,11724
2408,7755
8064,10183
7083,13235
4589,14543
221,14806
7444,16514
2051,13466
2356,4888
1519,10471
3912,12529
11374,11431
5128,7101
2651,12093
1684,15173
5696,15710
9561,14397
1805,8413
11572,16035
2258,10487
5299,12062
1237,6370
4524,15144
10899,13106
2126,10692
7826,15790
1982,2983
239,10042
13270,13307
7874,16183
8183,16064
9189,15920
6499,12527
4211,10129
3005,6029
10889,12605
4983,15769
2751,12851
7298,11816
1132,12562
12940,13326
2916,9744
8521,12528
2155,7489
3540,15971
1662,14828
2101,12405
11255,12970
2748,14477
8472,10095
13027,13174
2264,8861
15179,15466
2131,13738
2130,8984
9045,11187
5378,10681
2464,13606
5717,5722
3704,6605
3890,14817
16535,16680
3956,16044
448,13950
6651,10710
1802,14547
7304,15507
1085,1403
7363,14202
2838,7119
7617,11223
1067,11814
1036,1869
11747,16855
5266,6053
7808,10973
1481,4343
5003,10527
1708,3535
15254,16475
165,7059
9021,11218
3622,12602
3390,11402
2391,2638
3445,5223
988,8642
6622,13720
5880,10582
4824,6870
5172,8335
1178,6533
5372,9165
11005,15552
3033,11537
1150,9691
9689,14103
8968,14794
7603,11928
2894,13618
13459,15374
6720,14238
4540,13634
8291,14318
3940,16437
10858,11794
6164,15702
8020,10023
7024,15089
2925,6640
10029,15218
9605,12178
3041,14297
7880,15594
1819,12690
11500,15716
6982,15132
1598,13791
7401,8341
6143,14016
6525,14140
7649,15910
13927,15771
2190,12778
4992,15996
36,1024
9063,12239
11688,13260
12067,14031
7633,14127
2177,5046
5751,12449
15330,15611
2107,9768
8634,15197
12460,16534
1438,9369
3661,10204
4049,14595
3085,6595
11988,14872
44,16485
2476,14038
12271,15612
3687,12075
2710,4466
15833,15995
3969,8943
3213,16234
9641,13080
13675,16598
9049,13522
9790,16133
244,8109
1239,3345
3102,15408
5179,13606
11937,13215
9453,11836
472,10895
3683,6005
8394,16761
2663,13318
1892,14143
8265,11560
2447,5985
7262,16602
1211,2035
897,6910
4442,13392
9592,15692
7156,11948
10009,14734
13327,15499
9428,10786
2786,13905
6463,9317
686,10658
9351,16797
5052,9732
5038,14072
2533,10954
1213,14309
11255,14865
4815,7174
4694,5820
2462,3358
2576,9252
6082,6744
8321,15145
4591,7982
1685,3438
12732,14991
5313,10725
1182,14416
9062,12487
3189,3902
16035,16191
1851,1978
13882,16806
12626,15857
15648,16797
1235,4926
14212,14897
2915,8735
8627,9609
3397,5287
12792,14654
6477,8035
7340,12306
8244,12978
1462,7924
9764,13334
2073,14442
1564,6447
4822,9229
10841,12377
12330,14317
5179,6164
709,5807
5018,7467
3197,10182
7946,15389
143,10153
10452,14878
7898,15394
2655,15929
3086,8481
13980,16468
6544,7181
6294,9550
1961,9373
687,16846
10644,14200
9737,15650
6675,10883
1950,5051
129,6871
138,16327
3834,4471
10401,13439
9314,16203
2078,14492
3651,7160
1168,8699
8150,15007
10224,11251
5866,7859
1583,8155
4962,9503
10348,10429
5556,7600
8672,10122
8796,11249
7877,9093
45,14315
1988,4830
13444,15412
4318,5636
2570,15814
6281,8112
1544,11909
6821,15023
451,3900
4447,14063
7180,11798
6486,13071
10946,15079
2453,12000
584,14810
1082,6277
6730,11555
4046,8811
11620,16856
2955,12442
4442,15984
122,13721
11282,13390
3598,12758
157,6216
8845,14244
9041,10121
5635,7311
7934,16190
2047,5252
4473,14698
11800,14090
1132,1300
2878,7125
8391,12964
1086,5546
2271,16620
8490,10465
5522,6691
3158,4545
2155,9315
2,13996
6098,8063
8466,11554
10251,11137
2906,15932
11155,13213
4498,16269
3103,11242
16156,16585
10772,15299
8709,12714
14361,15691
8018,12251
1822,2011
5768,14152
2769,14412
2252,7073
2891,15895
686,14632
1470,6947
6774,12816
5425,7464
7445,11221
8506,15854
7256,14582
10542,13930
3179,6771
10250,15394
1642,10124
6196,14587
4474,4736
1925,6897
4149,13049
3766,14626
8398,16163
2342,4562
4295,5818
3288,6396
1759,13208
8724,15635
13125,13952
9264,16513
1158,14772
4864,11458
12772,15671
1332,15516
10246,11194
4361,13757
6751,16131
13978,15099
1890,10940
3168,8609
8826,9027
6024,14168
4916,10639
3107,10413
5120,7191
3910,8457
2679,8221
13696,15686
3852,6507
11091,14922
12540,13702
6413,8864
1146,13053
4521,10307
9839,10140
5982,6862
9438,15650
7093,12256
1158,8169
14626,15072
3149,4052
12842,14428
12219,12510
10259,13538
9608,11855
3138,10157
4367,10264
2109,14641
12217,12575
13982,14748
3237,4581
10454,12148
1356,11235
10722,14166
6395,11141
215,15300
9836,15298
5978,15247
11798,14130
4348,13850
5256,8066
14040,15890
603,5994
6770,16132
4790,4912
1380,6667
6096,8799
2466,11146
6128,12725
11955,13319
12550,12690
12124,12331
13128,14506
7619,7701
9640,16030
